Index,"Region, subregion, country or area",Note,"Country
code",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
1,WORLD,,900,  750 903,  877 009, 1 023 846, 1 188 469, 1 354 215, 1 538 625, 1 754 201, 2 007 939, 2 290 228, 2 575 505, 2 868 308, 3 215 906, 3 594 868, 3 981 498, 4 378 994, 4 774 646, 5 167 258, 5 555 833, 5 938 249, 6 312 545, 6 679 756
2,More developed regions,a,901,  446 284,  501 111,  560 260,  619 702,  674 090,  722 461,  762 102,  796 652,  829 877,  858 565,  883 880,  918 342,  954 091,  979 089, 1 003 640, 1 027 097, 1 049 699, 1 070 804, 1 090 433, 1 108 231, 1 123 972
3,Less developed regions,b,902,  304 619,  375 898,  463 585,  568 768,  680 126,  816 164,  992 099, 1 211 287, 1 460 351, 1 716 940, 1 984 428, 2 297 564, 2 640 777, 3 002 409, 3 375 354, 3 747 549, 4 117 558, 4 485 029, 4 847 816, 5 204 314, 5 555 784
4,Least developed countries,c,941,  14 720,  18 375,  23 255,  30 005,  39 626,  50 433,  67 387,  86 126,  109 838,  136 976,  166 315,  204 619,  250 013,  305 951,  372 038,  449 498,  538 529,  639 204,  750 922,  873 338, 1 005 762
5,"Less developed regions, excluding least developed countries",d,934,  289 899,  357 523,  440 330,  538 763,  640 500,  765 731,  924 712, 1 125 161, 1 350 513, 1 579 964, 1 818 113, 2 092 945, 2 390 764, 2 696 458, 3 003 315, 3 298 051, 3 579 029, 3 845 826, 4 096 894, 4 330 976, 4 550 022
6,"Less developed regions, excluding China",,948,  235 263,  286 331,  350 890,  430 589,  527 615,  645 426,  786 344,  950 055, 1 130 775, 1 311 997, 1 501 700, 1 711 930, 1 946 607, 2 201 145, 2 473 276, 2 763 104, 3 071 076, 3 396 290, 3 735 045, 4 083 025, 4 434 790
7,High-income countries,e,1503,  393 682,  437 321,  485 583,  535 949,  584 694,  629 042,  668 137,  705 561,  744 350,  783 670,  821 849,  869 805,  919 423,  955 213,  988 586, 1 019 399, 1 048 879, 1 075 813, 1 099 735, 1 120 535, 1 138 336
8,Middle-income countries,e,1517,  345 035,  424 897,  519 401,  628 629,  738 083,  869 908, 1 037 064, 1 242 009, 1 470 900, 1 699 644, 1 935 345, 2 211 226, 2 511 183, 2 825 252, 3 144 887, 3 456 425, 3 756 587, 4 045 091, 4 320 349, 4 581 025, 4 828 424
9,Upper-middle-income countries,e,1502,  211 088,  265 941,  329 935,  401 852,  466 101,  540 534,  635 383,  757 479,  892 370, 1 025 414, 1 159 791, 1 319 220, 1 487 718, 1 659 611, 1 821 036, 1 957 223, 2 068 825, 2 157 098, 2 223 592, 2 270 586, 2 303 922
10,Lower-middle-income countries,e,1501,  133 947,  158 956,  189 466,  226 777,  271 982,  329 374,  401 681,  484 530,  578 530,  674 230,  775 555,  892 007, 1 023 464, 1 165 641, 1 323 851, 1 499 202, 1 687 762, 1 887 993, 2 096 758, 2 310 440, 2 524 502
