Index,"Region, subregion, country or area",Note,"Country
code",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
1,WORLD,,900, 1 785 372, 1 895 234, 2 009 367, 2 151 123, 2 346 362, 2 540 462, 2 704 211, 2 865 843, 3 040 715, 3 175 969, 3 276 699, 3 326 254, 3 363 301, 3 401 511, 3 416 488, 3 410 967, 3 383 941, 3 336 868, 3 272 088, 3 191 665, 3 092 067
2,More developed regions,a,901,  368 581,  363 958,  356 808,  347 679,  334 992,  326 953,  322 142,  319 283,  317 122,  312 760,  306 625,  292 204,  281 052,  274 118,  265 637,  254 199,  240 237,  224 195,  207 063,  190 118,  174 096
3,Less developed regions,b,902, 1 416 791, 1 531 276, 1 652 559, 1 803 444, 2 011 370, 2 213 509, 2 382 068, 2 546 560, 2 723 593, 2 863 209, 2 970 075, 3 034 050, 3 082 249, 3 127 393, 3 150 852, 3 156 769, 3 143 704, 3 112 673, 3 065 025, 3 001 547, 2 917 970
4,Least developed countries,c,941,  180 540,  197 047,  217 487,  241 396,  268 860,  296 660,  325 892,  361 115,  400 989,  448 520,  498 490,  549 499,  598 779,  650 680,  701 946,  750 943,  795 667,  834 979,  868 062,  893 721,  910 980
5,"Less developed regions, excluding least developed countries",d,934, 1 236 252, 1 334 229, 1 435 072, 1 562 048, 1 742 510, 1 916 849, 2 056 177, 2 185 445, 2 322 604, 2 414 689, 2 471 585, 2 484 551, 2 483 471, 2 476 713, 2 448 906, 2 405 826, 2 348 037, 2 277 694, 2 196 963, 2 107 826, 2 006 991
6,"Less developed regions, excluding China",,948,  921 933,  998 306, 1 093 633, 1 202 718, 1 320 280, 1 442 592, 1 571 075, 1 712 177, 1 854 287, 2 000 458, 2 140 671, 2 268 147, 2 386 000, 2 500 296, 2 596 364, 2 669 863, 2 716 121, 2 734 893, 2 727 477, 2 696 035, 2 642 608
7,High-income countries,e,1503,  279 214,  277 920,  275 975,  273 022,  266 625,  263 873,  261 802,  259 452,  255 759,  251 925,  248 281,  236 896,  229 169,  224 848,  219 189,  211 093,  201 017,  189 109,  175 944,  162 455,  149 463
8,Middle-income countries,e,1517, 1 389 446, 1 491 996, 1 596 530, 1 727 865, 1 913 918, 2 092 768, 2 238 924, 2 382 132, 2 535 383, 2 642 634, 2 712 144, 2 733 259, 2 735 699, 2 733 012, 2 707 689, 2 665 237, 2 605 467, 2 530 919, 2 444 491, 2 348 156, 2 238 655
9,Upper-middle-income countries,e,1502,  745 116,  794 525,  831 618,  883 518,  981 853, 1 068 633, 1 116 042, 1 146 136, 1 187 044, 1 182 604, 1 147 787, 1 078 424, 1 001 693,  928 752,  849 086,  770 706,  698 423,  634 348,  579 147,  531 988,  486 574
10,Lower-middle-income countries,e,1501,  644 330,  697 471,  764 913,  844 347,  932 065, 1 024 135, 1 122 881, 1 235 996, 1 348 338, 1 460 031, 1 564 357, 1 654 835, 1 734 006, 1 804 260, 1 858 603, 1 894 530, 1 907 044, 1 896 571, 1 865 344, 1 816 168, 1 752 081
11,Low-income countries,e,1500,  116 164,  124 736,  136 261,  149 639,  165 228,  183 291,  203 016,  223 858,  249 230,  281 081,  315 968,  355 796,  398 123,  443 323,  489 255,  534 259,  577 058,  616 424,  651 228,  680 624,  703 517
12,Sub-Saharan Africa,f,947,  159 679,  172 887,  188 500,  208 411,  231 464,  257 595,  288 191,  322 116,  357 792,  397 793,  442 367,  488 573,  539 629,  593 408,  647 903,  701 117,  752 168,  800 173,  843 661,  880 557,  909 316
13,AFRICA,,903,  196 011,  212 576,  232 134,  256 122,  283 822,  314 699,  351 396,  392 074,  434 456,  481 098,  531 568,  583 724,  640 859,  702 839,  764 884,  824 101,  879 524,  930 374,  975 140, 1 011 608, 1 038 637
14,Eastern Africa,,910,  62 922,  69 608,  77 668,  87 294,  98 539,  111 350,  126 040,  143 402,  162 795,  181 432,  206 163,  232 916,  262 484,  293 362,  324 919,  355 649,  384 751,  411 389,  434 904,  454 699,  469 912
15,Burundi,,108,  2 269,  2 483,  2 728,  3 007,  3 357,  3 542,  3 938,  4 457,  5 076,  5 532,  5 873,  6 727,  7 834,  8 967,  10 303,  11 663,  13 019,  14 402,  15 828,  17 249,  18 579
16,Comoros,,174,149,160,167,172,185,203,236,265,297,341,390,441,497,556,614,668,716,760,800,835,864
17,Djibouti,,262,37,38,42,50,61,74,100,107,142,149,168,182,196,209,219,225,227,224,217,209,200
18,Eritrea,,232,  1 061,  1 145,  1 261,  1 407,  1 582,  1 795,  2 042,  2 319,  2 525,  2 394,  2 491,  2 735,  2 846,  2 995,  3 186,  3 358,  3 508,  3 639,  3 746,  3 811,  3 830
19,Ethiopia,,231,  17 294,  18 861,  20 726,  23 116,  25 975,  29 486,  31 594,  36 127,  42 017,  49 385,  56 730,  64 681,  72 514,  80 470,  88 296,  95 633,  102 124,  107 548,  111 745,  114 730,  116 333
20,Kenya,,404,  5 737,  6 532,  7 509,  8 687,  10 094,  11 745,  13 734,  16 491,  19 483,  22 352,  25 194,  28 235,  31 603,  35 117,  38 517,  41 691,  44 577,  47 060,  49 045,  50 459,  51 282
21,Madagascar,,450,  3 765,  4 129,  4 557,  5 055,  5 649,  6 322,  7 102,  7 957,  8 865,  9 999,  11 491,  13 053,  14 396,  15 705,  17 021,  18 300,  19 490,  20 564,  21 462,  22 160,  22 645
