Index,"Region, subregion, country or area",Note,"Country
code",1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050
1,WORLD,,900,3.1,3.1,2.98,2.61,2.55,2.62,2.7,2.63,2.35,2.15,2.29,2.23,2.04,1.9,1.73,1.58,1.45,1.33,1.22,1.13
2,More developed regions,a,901,2.32,2.23,2.02,1.68,1.39,1.07,0.89,0.82,0.68,0.58,0.76,0.76,0.52,0.5,0.46,0.44,0.4,0.36,0.32,0.28
3,Less developed regions,b,902,4.21,4.19,4.09,3.58,3.65,3.9,3.99,3.74,3.24,2.9,2.93,2.78,2.57,2.34,2.09,1.88,1.71,1.56,1.42,1.31
4,Least developed countries,c,941,4.44,4.71,5.1,5.56,4.82,5.8,4.91,4.86,4.42,3.88,4.15,4.01,4.04,3.91,3.78,3.61,3.43,3.22,3.02,2.82
5,"Less developed regions, excluding least developed countries",d,934,4.19,4.17,4.04,3.46,3.57,3.77,3.92,3.65,3.14,2.81,2.82,2.66,2.41,2.16,1.87,1.64,1.44,1.26,1.11,0.99
6,"Less developed regions, excluding China",,948,3.93,4.07,4.09,4.06,4.03,3.95,3.78,3.48,2.97,2.7,2.62,2.57,2.46,2.33,2.22,2.11,2.01,1.9,1.78,1.65
7,High-income countries,e,1503,2.1,2.09,1.97,1.74,1.46,1.21,1.09,1.07,1.03,0.95,1.13,1.11,0.76,0.69,0.61,0.57,0.51,0.44,0.37,0.32
8,Middle-income countries,e,1517,4.16,4.02,3.82,3.21,3.29,3.52,3.61,3.38,2.89,2.6,2.67,2.54,2.36,2.14,1.89,1.67,1.48,1.32,1.17,1.05
9,Upper-middle-income countries,e,1502,4.62,4.31,3.94,2.97,2.96,3.23,3.52,3.28,2.78,2.46,2.58,2.4,2.19,1.86,1.44,1.11,0.84,0.61,0.42,0.29
10,Lower-middle-income countries,e,1501,3.42,3.51,3.6,3.64,3.83,3.97,3.75,3.55,3.06,2.8,2.8,2.75,2.6,2.55,2.49,2.37,2.24,2.1,1.94,1.77
11,Low-income countries,e,1500,3.84,4.83,4.7,5.51,4.7,4.23,4.18,4.35,4.17,3.76,3.9,3.98,4.08,4.03,3.96,3.85,3.7,3.52,3.31,3.1
12,Sub-Saharan Africa,f,947,4.91,5.16,4.46,4.58,4.85,4.83,4.77,4.77,4.18,3.87,4.07,4.14,4.14,3.98,3.82,3.65,3.47,3.27,3.09,2.89
13,AFRICA,,903,4.75,4.93,4.49,4.39,4.44,4.4,4.46,4.38,3.79,3.36,3.52,3.61,3.7,3.58,3.44,3.32,3.19,3.04,2.89,2.71
14,Eastern Africa,,910,5.21,5.38,5.79,6.01,5.99,6.07,5.1,5.14,4.36,4.18,4.17,4.44,4.55,4.45,4.32,4.17,3.98,3.74,3.5,3.28
15,Burundi,,108,3.66,3.74,3.98,6.62,5.49,6.45,6.36,6.49,4.72,4.1,5.53,5.86,5.56,5.68,5.43,5.17,4.99,4.85,4.68,4.45
16,Comoros,,174,8.49,7.98,7.68,4.73,4.06,5.37,4.72,4.74,3.19,2.48,2.26,2.47,2.75,2.87,2.97,3.06,3,2.84,2.68,2.51
17,Djibouti,,262,4.77,5.91,8.54,8.49,8.45,10.84,4.18,6.82,1.4,2.65,1.81,1.72,1.82,1.67,1.56,1.42,1.27,1.09,0.91,0.75
