Index,"Region, subregion, country or area",Note,"Country
code",1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050
1,WORLD,,900,1.78,1.8,1.92,2.05,1.95,1.78,1.78,1.79,1.52,1.32,1.25,1.23,1.19,1.09,0.98,0.87,0.78,0.7,0.63,0.56
2,More developed regions,a,901,1.2,1.17,1.07,0.84,0.78,0.65,0.58,0.55,0.42,0.32,0.33,0.4,0.29,0.25,0.19,0.13,0.08,0.04,0.01,0
3,Less developed regions,b,902,2.05,2.08,2.28,2.53,2.37,2.15,2.15,2.15,1.81,1.57,1.47,1.42,1.37,1.25,1.13,1.01,0.91,0.81,0.73,0.64
4,Least developed countries,c,941,1.97,2.22,2.4,2.56,2.36,2.5,2.57,2.66,2.73,2.54,2.52,2.37,2.39,2.31,2.23,2.11,2,1.87,1.75,1.63
5,"Less developed regions, excluding least developed countries",d,934,2.06,2.06,2.27,2.52,2.37,2.11,2.1,2.08,1.68,1.43,1.3,1.26,1.19,1.05,0.9,0.77,0.65,0.55,0.46,0.36
6,"Less developed regions, excluding China",,948,2.09,2.35,2.46,2.47,2.44,2.43,2.43,2.29,2.08,1.9,1.77,1.7,1.63,1.51,1.38,1.26,1.15,1.05,0.96,0.86
7,High-income countries,e,1503,1.22,1.25,1.21,1.02,0.95,0.81,0.74,0.71,0.7,0.66,0.67,0.74,0.54,0.46,0.37,0.31,0.24,0.17,0.11,0.07
8,Middle-income countries,e,1517,2,1.98,2.15,2.36,2.22,2.01,2.02,2,1.61,1.36,1.24,1.19,1.15,1.03,0.9,0.77,0.66,0.57,0.48,0.39
9,Upper-middle-income countries,e,1502,2.07,1.82,2.03,2.38,2.11,1.69,1.67,1.77,1.2,0.88,0.77,0.75,0.78,0.62,0.43,0.29,0.17,0.08,0,-0.09
10,Lower-middle-income countries,e,1501,1.91,2.17,2.31,2.34,2.34,2.38,2.42,2.27,2.04,1.84,1.69,1.59,1.48,1.38,1.29,1.15,1.03,0.92,0.81,0.71
11,Low-income countries,e,1500,1.66,2.11,2.23,2.5,2.51,2.44,2.4,2.63,2.82,2.69,2.78,2.73,2.73,2.63,2.52,2.39,2.27,2.13,1.99,1.85
12,Sub-Saharan Africa,f,947,1.99,2.2,2.39,2.53,2.66,2.8,2.83,2.8,2.71,2.66,2.66,2.74,2.74,2.65,2.54,2.43,2.32,2.19,2.06,1.92
13,AFRICA,,903,2.1,2.31,2.46,2.56,2.63,2.77,2.82,2.76,2.61,2.46,2.46,2.53,2.59,2.49,2.36,2.25,2.15,2.04,1.92,1.79
14,Eastern Africa,,910,2.22,2.42,2.63,2.78,2.85,2.96,2.97,2.98,2.58,2.89,2.82,2.87,2.82,2.71,2.57,2.43,2.29,2.14,1.99,1.85
15,Burundi,,108,1.84,1.92,1.99,2.32,1.21,2.29,2.66,2.82,1.92,1.42,2.96,3.33,3.03,3.15,2.91,2.69,2.58,2.51,2.42,2.27
16,Comoros,,174,1.96,1.66,1.64,2.07,2.24,3.59,2.87,2.94,2.88,2.64,2.4,2.4,2.39,2.24,2.07,1.92,1.79,1.67,1.54,1.41
17,Djibouti,,262,2.31,3.68,6.36,6.57,6.79,9.41,3.41,6.55,1.31,2.59,1.75,1.66,1.72,1.51,1.34,1.16,0.97,0.79,0.63,0.49
18,Eritrea,,232,1.79,2.24,2.57,2.62,2.72,2.78,2.87,2.46,-0.15,1.87,3.14,2.02,1.98,2.28,2.18,2.07,1.99,1.88,1.73,1.56
19,Ethiopia,,231,1.91,2.1,2.43,2.55,2.73,1.59,2.92,3.29,3.51,2.99,2.85,2.67,2.6,2.43,2.24,2.03,1.83,1.64,1.47,1.3
20,Kenya,,404,2.77,2.99,3.19,3.38,3.62,3.75,3.78,3.49,3.11,2.8,2.73,2.74,2.66,2.49,2.32,2.17,2.02,1.86,1.69,1.53
21,Madagascar,,450,2.13,2.31,2.47,2.62,2.78,2.86,2.87,2.84,3,3.14,3.02,2.86,2.72,2.67,2.58,2.44,2.28,2.13,1.99,1.86
22,Malawi,,454,1.93,2.13,2.3,2.52,2.79,3.04,3.14,5.38,0.98,2.76,2.73,3.02,2.95,2.87,2.75,2.65,2.5,2.33,2.17,2.01
23,Mauritius,1,480,2.91,2.91,2.64,1.85,1.53,1.59,1,0.77,1.33,0.98,0.61,0.42,0.18,0.23,0.14,0.06,-0.07,-0.21,-0.34,-0.43
24,Mayotte,,175,4.52,4.7,4.8,3.83,4.15,3.85,5.37,5.47,5.24,3.98,3.39,3.17,2.79,2.58,2.37,2.23,2.09,1.93,1.74,1.55
25,Mozambique,,508,1.71,1.95,2.09,2.21,2.43,2.71,1.83,0.4,3.47,2.73,2.93,2.93,2.91,2.86,2.77,2.68,2.56,2.42,2.27,2.11
26,Réunion,,638,3.23,2.81,3.04,3.35,0.96,0.99,1.85,1.78,1.96,1.79,1.44,0.96,0.78,0.75,0.7,0.61,0.49,0.36,0.21,0.08
27,Rwanda,,646,2.89,2.99,1.94,2.99,2.99,3.3,3.49,3.35,-3.99,6.06,2.27,2.61,2.53,2.36,2.11,1.94,1.81,1.66,1.48,1.28
28,Seychelles,,690,1.37,1.31,2.37,2.26,2.58,2.13,1.04,0.22,1.65,1.13,1.79,0.59,0.5,0.5,0.27,0.12,0.05,-0.01,-0.09,-0.22
29,Somalia,,706,1.91,2.02,2.15,2.31,2.38,9.88,1.32,1.71,0.81,3.13,2.89,2.93,2.86,2.93,2.95,2.86,2.74,2.61,2.48,2.36
30,South Sudan,,728,1.05,1.65,1.99,2.23,2.43,2.66,2.94,1.13,-1.1,4.1,3.82,4.33,3.32,2.72,2.47,2.28,2.12,1.99,1.86,1.74
31,Uganda,,800,2.68,2.81,3.32,3.29,2.73,2.95,3.09,3.49,3.28,3.14,3.44,3.45,3.37,3.23,3.1,2.95,2.79,2.61,2.43,2.26
32,United Republic of Tanzania,2,834,2.67,2.84,2.96,3.05,3.22,3.13,3.12,3.07,3.26,2.63,2.85,3.13,3.12,3.06,2.93,2.82,2.71,2.58,2.43,2.28
33,Zambia,,894,2.62,2.9,3.15,3.16,3.47,3.41,3.33,2.87,2.59,2.84,2.7,2.78,3.01,2.97,2.9,2.82,2.69,2.56,2.44,2.32
34,Zimbabwe,,716,3.07,3.15,3.26,3.2,3.34,3.17,3.79,3.24,2.12,1.53,1.14,1.7,2.27,2.28,2.03,1.9,1.8,1.68,1.54,1.38
