id,date,day,steps,distance,stairs
1,2015-07-01,Wed,112,0.08,0
2,2015-07-02,Thu,11,0.01,0
3,2015-07-03,Fri,0,0,0
4,2015-07-04,Sat,150,0.13,0
5,2015-07-05,Sun,0,0,0
6,2015-07-06,Mon,0,0,0
7,2015-07-07,Tue,0,0,0
8,2015-07-08,Wed,0,0,0
9,2015-07-09,Thu,0,0,0
10,2015-07-10,Fri,0,0,0
11,2015-07-11,Sat,0,0,0
12,2015-07-12,Sun,0,0,0
13,2015-07-13,Mon,0,0,0
14,2015-07-14,Tue,0,0,0
15,2015-07-15,Wed,0,0,0
16,2015-07-16,Thu,0,0,0
17,2015-07-17,Fri,0,0,0
18,2015-07-18,Sat,0,0,0
19,2015-07-19,Sun,0,0,0
20,2015-07-20,Mon,0,0,0
21,2015-07-21,Tue,8418,6.2,13
22,2015-07-22,Wed,9298,6.7,11
23,2015-07-23,Thu,4083,3.1,6
24,2015-07-24,Fri,4496,3.3,5
25,2015-07-25,Sat,13964,10,10
26,2015-07-26,Sun,13819,9.8,28
27,2015-07-27,Mon,11374,8.1,1
28,2015-07-28,Tue,14788,10.2,34
29,2015-07-29,Wed,9316,6.5,16
30,2015-07-30,Thu,8784,6.4,25
31,2015-07-31,Fri,13182,8.1,20
32,2015-08-01,Sat,2670,2,0
33,2015-08-02,Sun,5284,3.5,6
34,2015-08-03,Mon,5614,4.2,5
35,2015-08-04,Tue,8712,6,20
36,2015-08-05,Wed,8116,6.1,1
37,2015-08-06,Thu,8801,6.5,9
38,2015-08-07,Fri,8439,6.4,21
39,2015-08-08,Sat,9457,6.8,8
40,2015-08-09,Sun,6471,4.7,8
41,2015-08-10,Mon,8694,6.6,14
42,2015-08-11,Tue,15123,10.5,12
43,2015-08-12,Wed,15543,10.3,11
44,2015-08-13,Thu,10348,7.3,10
45,2015-08-14,Fri,5270,3.9,6
46,2015-08-15,Sat,2027,1.5,1
47,2015-08-16,Sun,6034,4.4,4
48,2015-08-17,Mon,9936,7.3,10
49,2015-08-18,Tue,7654,5.1,15
50,2015-08-19,Wed,9286,6.6,18
51,2015-08-20,Thu,7947,5.7,0
52,2015-08-21,Fri,22600,14.2,3
53,2015-08-22,Sat,8440,6.8,6
54,2015-08-23,Sun,6837,5,7
55,2015-08-24,Mon,10286,7.1,26
56,2015-08-25,Tue,9305,7.2,20
57,2015-08-26,Wed,4559,3.6,6
58,2015-08-27,Thu,11276,8.1,27
59,2015-08-28,Fri,15861,13,3
60,2015-08-29,Sat,9307,7.1,23
61,2015-08-30,Sun,4790,3.7,7
62,2015-08-31,Mon,6544,4.4,2
63,2015-09-01,Tue,9419,6.7,20
64,2015-09-02,Wed,11106,7.8,20
65,2015-09-03,Thu,4172,3.2,0
66,2015-09-04,Fri,8138,6.3,10
67,2015-09-05,Sat,11033,8.8,3
68,2015-09-06,Sun,3105,2.4,7
69,2015-09-07,Mon,14632,10.6,16
70,2015-09-08,Tue,7773,5.3,0
71,2015-09-09,Wed,0,0,0
72,2015-09-10,Thu,7022,5.6,6
73,2015-09-11,Fri,33,0.03,0
74,2015-09-12,Sat,9008,7,3
75,2015-09-13,Sun,7565,5.4,7
76,2015-09-14,Mon,5929,4.2,3
77,2015-09-15,Tue,8829,6.3,6
78,2015-09-16,Wed,3275,2.6,2
79,2015-09-17,Thu,12265,9.2,9
80,2015-09-18,Fri,12327,9.2,6
81,2015-09-19,Sat,4626,3.6,5
82,2015-09-20,Sun,4516,3.5,8
83,2015-09-21,Mon,5939,4.6,5
84,2015-09-22,Tue,8780,7,15
85,2015-09-23,Wed,8996,7.2,9
86,2015-09-24,Thu,7258,5.3,2
87,2015-09-25,Fri,8154,6.3,3
88,2015-09-26,Sat,9690,7.4,0
89,2015-09-27,Sun,10708,7.4,6
90,2015-09-28,Mon,5051,3.5,3
91,2015-09-29,Tue,2858,2.1,0
92,2015-09-30,Wed,13640,10.6,10
93,2015-10-01,Thu,8923,7.1,4
94,2015-10-02,Fri,8421,6.3,16
95,2015-10-03,Sat,16287,11.3,33
96,2015-10-04,Sun,11945,9.2,11
97,2015-10-05,Mon,7472,5.7,19
98,2015-10-06,Tue,11619,8.5,5
99,2015-10-07,Wed,7352,5.8,3
100,2015-10-08,Thu,10102,7.9,3
101,2015-10-09,Fri,10652,7.3,4
102,2015-10-10,Sat,2795,1.9,19
103,2015-10-11,Sun,1628,1.3,1
104,2015-10-12,Mon,3742,2.9,1
105,2015-10-13,Tue,9468,7.3,6
106,2015-10-14,Wed,13965,10.9,12
107,2015-10-15,Thu,8935,6.4,2
108,2015-10-16,Fri,12689,10.2,0
109,2015-10-17,Sat,17251,13.6,16
110,2015-10-18,Sun,8762,6.9,4
111,2015-10-19,Mon,6793,4.5,5
112,2015-10-20,Tue,22528,15.4,3
113,2015-10-21,Wed,2537,1.8,1
114,2015-10-22,Thu,10034,7.3,8
115,2015-10-23,Fri,9524,6,16
116,2015-10-24,Sat,9074,6.2,4
117,2015-10-25,Sun,7310,5.5,9
118,2015-10-26,Mon,6840,5.1,6
119,2015-10-27,Tue,6717,5.1,4
120,2015-10-28,Wed,11120,8.7,5
121,2015-10-29,Thu,13714,10.8,12
122,2015-10-30,Fri,11984,9.3,11
123,2015-10-31,Sat,7142,5.4,15
124,2015-11-01,Sun,6476,5.1,6
125,2015-11-02,Mon,12773,9.7,6
126,2015-11-03,Tue,8889,6.8,6
127,2015-11-04,Wed,11529,9,6
128,2015-11-05,Thu,11402,8.8,8
129,2015-11-06,Fri,7869,5.9,15
130,2015-11-07,Sat,7977,6.3,11
131,2015-11-08,Sun,4692,3.7,10
132,2015-11-09,Mon,13587,10.6,12
133,2015-11-10,Tue,11828,9.3,9
134,2015-11-11,Wed,10811,8.5,11
135,2015-11-12,Thu,13904,10.7,9
136,2015-11-13,Fri,13400,10.5,14
137,2015-11-14,Sat,8985,7.1,6
138,2015-11-15,Sun,9358,6.7,6
139,2015-11-16,Mon,12233,9.3,12
140,2015-11-17,Tue,13269,10.1,11
141,2015-11-18,Wed,12454,9.6,10
142,2015-11-19,Thu,11449,8.9,9
143,2015-11-20,Fri,12088,9.7,5
144,2015-11-21,Sat,7496,5.9,1
145,2015-11-22,Sun,10917,8.4,14
146,2015-11-23,Mon,12722,10.1,4
147,2015-11-24,Tue,13262,10.3,7
148,2015-11-25,Wed,12090,8.7,3
149,2015-11-26,Thu,10586,8,16
150,2015-11-27,Fri,0,0,0
151,2015-11-28,Sat,10607,8.4,4
152,2015-11-29,Sun,7236,5.7,11
153,2015-11-30,Mon,13116,9.7,5
154,2015-12-01,Tue,6771,5.5,4
155,2015-12-02,Wed,10755,8.2,5
156,2015-12-03,Thu,2892,1.9,1
157,2015-12-04,Fri,12,0.01,0
158,2015-12-05,Sat,3373,2.7,0
159,2015-12-06,Sun,7839,5.9,5
160,2015-12-07,Mon,10022,7.7,6
161,2015-12-08,Tue,14379,10.4,12
162,2015-12-09,Wed,7527,5.4,5
163,2015-12-10,Thu,4505,3.6,2
164,2015-12-11,Fri,10198,8,3
165,2015-12-12,Sat,9427,7.6,3
166,2015-12-13,Sun,4485,3.4,5
167,2015-12-14,Mon,22383,17.6,3
168,2015-12-15,Tue,108,0.1,0
169,2015-12-16,Wed,2347,1.9,1
170,2015-12-17,Thu,1398,1.1,0
171,2015-12-18,Fri,320,0.34,0
172,2015-12-19,Sat,2719,2.1,1
173,2015-12-20,Sun,9332,7.3,7
174,2015-12-21,Mon,16878,13.4,10
175,2015-12-22,Tue,8935,7.1,24
176,2015-12-23,Wed,8513,6.7,2
177,2015-12-24,Thu,18054,14.6,3
178,2015-12-25,Fri,4937,3.7,4
179,2015-12-26,Sat,9925,7.7,6
180,2015-12-27,Sun,6794,4.8,5
181,2015-12-28,Mon,2222,1.8,1
182,2015-12-29,Tue,1961,1.2,2
183,2015-12-30,Wed,3112,2.3,3
184,2015-12-31,Thu,2712,2.1,3
185,2016-01-01,Fri,7121,5.5,9
186,2016-01-02,Sat,2480,1.9,3
187,2016-01-03,Sun,7240,5.5,4
188,2016-01-04,Mon,2630,1.8,2
189,2016-01-05,Tue,2520,1.8,3
190,2016-01-06,Wed,1981,1.2,2
191,2016-01-07,Thu,5710,3.8,0
192,2016-01-08,Fri,4693,3.6,5
193,2016-01-09,Sat,8446,6.8,6
194,2016-01-10,Sun,10464,7.6,11
195,2016-01-11,Mon,3176,2.4,3
196,2016-01-12,Tue,6549,5.2,6
197,2016-01-13,Wed,6810,5.1,3
198,2016-01-14,Thu,7795,5.9,14
199,2016-01-15,Fri,19897,15.5,4
200,2016-01-16,Sat,16150,12.4,20
201,2016-01-17,Sun,5894,4.4,4
202,2016-01-18,Mon,7273,5.6,10
203,2016-01-19,Tue,3020,2.3,2
204,2016-01-20,Wed,2931,2.3,0
205,2016-01-21,Thu,10673,8.5,34
206,2016-01-22,Fri,13729,10.8,19
207,2016-01-23,Sat,8427,6.1,9
208,2016-01-24,Sun,3914,3.1,7
209,2016-01-25,Mon,11332,9,36
210,2016-01-26,Tue,11130,8.8,28
211,2016-01-27,Wed,10466,8.3,11
212,2016-01-28,Thu,6027,4.6,2
213,2016-01-29,Fri,22707,18.3,8
214,2016-01-30,Sat,48,0.05,0
215,2016-01-31,Sun,3470,2.7,5
216,2016-02-01,Mon,10639,8.6,33
217,2016-02-02,Tue,11373,8.6,22
218,2016-02-03,Wed,10263,8.2,33
219,2016-02-04,Thu,11080,8.5,31
220,2016-02-05,Fri,6775,4.9,2
221,2016-02-06,Sat,8339,6.5,9
222,2016-02-07,Sun,0,0,0
223,2016-02-08,Mon,24,0.02,0
224,2016-02-09,Tue,19,0.03,0
225,2016-02-10,Wed,3510,2.6,0
226,2016-02-11,Thu,2799,2.3,0
227,2016-02-12,Fri,13644,10.8,3
228,2016-02-13,Sat,1374,1.1,3
229,2016-02-14,Sun,2248,1.8,0
230,2016-02-15,Mon,1714,1.4,1
231,2016-02-16,Tue,3365,2.6,14
232,2016-02-17,Wed,11289,8.9,17
233,2016-02-18,Thu,4976,3.6,3
234,2016-02-19,Fri,10693,8.1,10
235,2016-02-20,Sat,13995,10.9,6
236,2016-02-21,Sun,4574,3.4,11
237,2016-02-22,Mon,2598,2.1,0
238,2016-02-23,Tue,1913,1.5,0
239,2016-02-24,Wed,1359,1.1,0
240,2016-02-25,Thu,2110,1.7,0
241,2016-02-26,Fri,4377,3.3,9
242,2016-02-27,Sat,8110,6.5,6
243,2016-02-28,Sun,9222,6.9,8
244,2016-02-29,Mon,4520,3.6,7
245,2016-03-01,Tue,3672,2.8,1
246,2016-03-02,Wed,8064,6.5,3
247,2016-03-03,Thu,20030,16.1,4
248,2016-03-04,Fri,6130,4.5,6
249,2016-03-05,Sat,4007,3.2,2
250,2016-03-06,Sun,7584,6,8
251,2016-03-07,Mon,5476,4.3,3
252,2016-03-08,Tue,30,0.03,0
253,2016-03-09,Wed,9468,6.7,17
